age,education,employ,address,income,debtinc,creddebt,othdebt,default,credit_score
24,1,7,2,21,6.3,0.519939,0.803061,0.0,473.7114122
29,2,6,7,57,2.2,0.452694,0.801306,0.0,501.3786612
27,2,1,0,23,12.4,0.2852,2.5668,0.0,471.01256
40,1,13,2,28,5.9,0.964768,0.687232,0.0,486.7166464
29,1,8,10,24,6.7,0.469536,1.138464,0.0,480.9044928
29,2,4,3,37,6.6,1.15995,1.28205,1.0,484.03961
24,1,0,2,16,16.0,1.00864,1.55136,1.0,462.886272
27,1,9,6,45,17.8,2.85156,5.15844,1.0,484.50768800000003
41,3,16,22,135,4.4,1.2771,4.6629,0.0,561.79658
31,1,11,8,25,9.1,0.14105,2.13395,0.0,481.67679
41,1,16,17,68,5.4,0.447984,3.224016,0.0,518.2160032
42,2,5,3,41,3.4,0.35547,1.03853,0.0,494.490106
28,4,1,3,26,12.4,0.377208,2.846792,0.0,475.9197584
30,4,2,8,25,10.0,1.77,0.73,0.0,479.346
30,1,11,1,33,8.4,0.681912,2.090088,0.0,483.34921760000003
31,1,8,4,44,8.0,1.72128,1.79872,0.0,490.151744
45,2,15,14,51,18.1,1.550808,7.680192,0.0,502.4036384
43,1,13,23,76,6.1,2.151104,2.484896,1.0,523.4025792
36,1,4,10,23,16.3,1.327146,2.421854,0.0,477.0647708
28,1,8,6,30,7.2,0.61344,1.54656,0.0,482.165312
27,2,3,5,33,13.2,1.6335,2.7225,0.0,478.9221
36,3,13,3,39,19.2,2.800512,4.687488,0.0,486.8622976
33,1,12,11,32,11.3,2.104512,1.511488,0.0,486.7358976
54,1,9,2,28,14.8,1.558144,2.585856,1.0,485.7395712
33,1,9,4,29,13.8,1.348674,2.653326,1.0,479.2098652
31,1,9,5,26,4.5,0.31005,0.85995,0.0,482.30399
21,1,4,0,26,8.9,1.420796,0.893204,0.0,472.0930408
28,3,5,9,44,8.7,0.773256,3.054744,0.0,491.1997488
31,2,2,1,26,6.8,0.28288,1.48512,1.0,476.869824
32,1,8,6,26,4.1,0.326196,0.739804,0.0,482.8815608
35,2,1,8,24,12.5,0.591,2.409,1.0,477.0818
40,2,13,11,102,18.9,6.226794,13.051206,1.0,524.9390412
22,1,4,2,24,15.6,1.636128,2.107872,1.0,468.2839744
39,1,4,9,38,6.5,1.17819,1.29181,0.0,491.070362
41,4,14,3,44,1.7,0.353056,0.394944,0.0,501.8997888
34,1,16,9,79,4.0,1.73484,1.42516,0.0,519.221032
29,1,7,9,22,9.7,0.550572,1.583428,0.0,477.5830856
31,1,4,10,28,11.3,0.291088,2.872912,0.0,480.3889824
32,1,1,0,20,4.8,0.31488,0.64512,1.0,473.025024
32,1,14,7,73,8.8,3.751616,2.672384,0.0,510.2448768
33,1,6,14,21,7.5,0.567,1.008,0.0,481.1716
26,1,6,0,22,10.3,0.720588,1.545412,0.0,472.0826824
21,1,1,1,18,17.3,0.158814,2.955186,0.0,463.2254372
28,2,7,2,34,7.0,0.35938,2.02062,0.0,483.452124
37,1,13,5,24,8.9,0.602352,1.533648,0.0,483.0923296
33,2,2,14,35,22.9,2.123975,5.891025,1.0,480.212205
39,1,12,10,46,5.0,0.5612,1.7388,0.0,500.22776
40,2,8,19,57,5.6,0.8778,2.3142,0.0,509.54604
45,3,16,21,80,3.0,0.912,1.488,0.0,531.3376
27,1,10,6,34,6.5,0.85085,1.35915,0.0,485.18783
28,4,0,7,29,24.2,1.424654,5.593346,0.0,473.2314692
39,1,13,9,27,8.0,0.96552,1.19448,0.0,487.574896
40,1,14,21,43,15.0,2.79285,3.65715,1.0,497.95143
27,1,11,8,56,16.9,4.63736,4.82664,0.0,493.219728
36,1,1,4,16,9.3,0.433008,1.054992,0.0,472.6957984
55,1,19,2,78,15.6,4.404816,7.763184,0.0,518.4454368
27,2,4,3,22,13.2,1.086096,1.817904,1.0,471.5219808
30,1,1,8,17,11.0,0.74613,1.12387,0.0,471.676774
36,1,10,0,28,11.2,0.81536,2.32064,1.0,479.929728
31,1,1,6,21,2.5,0.2772,0.2478,1.0,476.63956
33,2,13,2,40,7.2,0.18144,2.69856,0.0,491.307712
30,1,4,0,33,4.2,0.500346,0.885654,0.0,482.1427308
24,1,1,0,18,5.9,0.23895,0.82305,1.0,468.17981
33,4,9,10,28,4.3,0.376852,0.827148,0.0,488.7638296
50,1,8,27,47,6.9,0.398889,2.844111,0.0,509.51162220000003
31,2,6,6,32,23.1,3.341184,4.050816,1.0,475.81336319999997
28,1,3,7,19,4.1,0.260965,0.518035,0.0,475.552007
44,3,8,10,88,6.1,0.284504,5.083496,1.0,525.6294992
48,4,3,23,45,9.8,0.97461,3.43539,0.0,504.803078
36,2,0,17,30,9.7,0.32883,2.58117,0.0,486.272234
29,3,7,1,63,5.5,0.571725,2.893275,0.0,501.992655
40,3,17,11,116,6.0,2.56128,4.39872,0.0,544.8957439999999
33,1,7,6,26,6.0,0.54288,1.01712,0.0,481.979424
26,2,6,6,30,1.0,0.1437,0.1563,0.0,484.31126
36,1,14,11,81,7.2,1.784592,4.047408,0.0,519.3966816
26,2,6,0,35,1.9,0.085785,0.579215,0.0,484.489843
40,3,16,6,116,12.1,1.61414,12.42186,0.0,538.829972
44,1,5,3,48,9.0,1.96992,2.35008,1.0,494.74201600000004
29,3,1,10,30,4.5,0.27945,1.07055,0.0,484.27411
35,3,5,3,37,5.4,0.581418,1.416582,1.0,488.3241164
34,1,16,3,75,10.4,3.9546,3.8454,0.0,510.48908
34,3,12,8,47,6.7,1.300537,1.848463,0.0,498.6300926
46,1,14,25,35,10.2,1.34946,2.22054,0.0,500.736108
41,2,21,22,145,12.2,3.23727,14.45273,0.0,563.134546
27,2,7,8,30,4.0,0.4476,0.7524,1.0,483.67048
27,4,0,6,70,8.0,1.6184,3.9816,1.0,502.95632
28,1,11,6,24,2.4,0.107136,0.468864,0.0,482.1033728
48,3,0,27,19,10.8,0.849528,1.202472,0.0,488.8996944
48,3,17,26,113,12.0,3.37644,10.18356,0.0,548.412712
29,3,5,6,70,19.9,3.17604,10.75396,1.0,498.218792
43,2,9,5,60,20.4,4.0392,8.2008,1.0,498.18416
23,1,5,2,17,7.9,0.302175,1.040825,0.0,469.510965
29,2,10,8,44,18.1,3.70326,4.26074,0.0,487.226548
40,4,5,6,75,1.9,0.884925,0.540075,0.0,517.378015
22,2,0,3,20,5.6,0.2072,0.9128,0.0,471.09456
23,1,7,3,22,14.4,0.849024,2.318976,0.0,470.6365952
46,3,9,10,60,15.3,1.6065,7.5735,0.0,506.1227
55,1,3,11,40,8.0,0.5632,2.6368,1.0,497.64736
38,2,8,16,38,0.6,0.029412,0.198588,0.0,498.9085176
35,2,5,1,33,2.8,0.103488,0.820512,0.0,486.4745024
30,1,11,9,27,0.9,0.073872,0.169128,0.0,486.5766256
24,1,7,0,18,6.5,0.5265,0.6435,0.0,471.0607
26,2,4,3,28,9.5,0.2261,2.4339,0.0,477.22278
32,2,2,11,15,9.1,0.118755,1.246245,1.0,473.863249
37,2,11,4,75,3.5,0.632625,1.992375,0.0,515.348475
39,1,6,19,42,19.9,2.540832,5.817168,1.0,490.6602336
30,2,4,4,21,18.3,0.491904,3.351096,0.0,471.2130192
30,1,10,11,39,9.5,2.056275,1.648725,0.0,489.647745
32,2,7,10,32,4.3,0.43344,0.94256,0.0,488.318112
54,3,21,20,118,14.4,9.60048,7.39152,0.0,550.121504
27,3,3,4,35,13.3,1.60132,3.05368,0.0,480.428736
31,1,12,4,31,23.7,2.05716,5.28984,0.0,476.83916800000003
39,1,15,16,39,1.8,0.139698,0.562302,0.0,501.3116604
31,1,5,3,25,14.1,1.17735,2.34765,0.0,474.81953
35,1,15,11,40,18.5,1.2136,6.1864,0.0,490.07728000000003
35,2,10,16,98,13.3,4.874716,8.159284,0.0,525.8982568
46,2,22,17,144,11.1,3.324672,12.659328,0.0,563.6982656
33,1,13,3,52,21.3,2.71362,8.36238,1.0,489.52207599999997
35,2,13,3,105,1.9,1.418445,0.576555,0.0,533.557311
35,2,1,1,21,7.9,0.369957,1.289043,0.0,475.4342086
38,1,5,13,21,9.0,0.44982,1.44018,0.0,481.732036
41,1,19,1,96,7.8,2.253888,5.234112,0.0,527.7316224
38,1,18,19,44,4.5,0.60588,1.37412,0.0,504.882824
34,3,2,14,39,13.2,1.142856,4.005144,0.0,489.2618288
51,3,16,25,82,4.4,2.604976,1.003024,0.0,535.3974048
34,2,10,2,33,9.5,0.573705,2.561295,0.0,485.258259
47,1,15,1,30,24.5,2.21235,5.13765,0.0,482.28753
34,2,8,6,78,5.4,2.156544,2.055456,0.0,514.1662912
27,2,8,7,18,11.9,0.400554,1.741446,0.0,473.9314892
52,1,9,11,24,19.2,0.801792,3.806208,1.0,484.4380416
39,1,9,6,35,5.0,0.23275,1.51725,0.0,491.00345000000004
33,1,7,0,22,6.4,0.630784,0.777216,0.0,477.0322432
34,1,0,1,21,7.2,0.187488,1.324512,0.0,474.1801024
31,3,9,7,59,14.6,3.109654,5.504346,1.0,497.6152692
28,1,2,9,16,15.2,0.870656,1.561344,0.0,469.2594688
39,1,19,16,45,3.7,0.91575,0.74925,0.0,505.40385000000003
51,2,22,23,120,7.6,4.14048,4.97952,0.0,556.307904
22,1,4,1,16,1.2,0.08448,0.10752,0.0,470.66470400000003
27,3,6,4,26,10.4,0.930176,1.773824,0.0,477.9131648
32,1,16,10,38,21.0,0.69426,7.28574,0.0,486.665148
28,2,6,7,38,7.2,0.774288,1.961712,0.0,487.21794239999997
27,2,1,0,20,10.3,0.37698,1.68302,1.0,469.392604
26,2,2,6,24,13.6,1.576512,1.687488,1.0,472.3918976
32,1,14,0,36,2.4,0.273024,0.590976,0.0,489.6125952
30,1,0,11,17,3.7,0.44659,0.18241,1.0,474.904882
39,1,13,1,38,8.9,1.897302,1.484698,0.0,490.1841396
31,1,11,6,28,4.8,0.345408,0.998592,1.0,483.7421184
34,1,15,2,39,24.7,4.373382,5.259618,1.0,481.1187236
31,1,8,3,41,12.6,0.134316,5.031684,0.0,486.0999368
29,2,1,7,25,10.4,0.5694,2.0306,0.0,476.60612
29,1,9,0,25,13.9,1.0703,2.4047,0.0,474.53094
35,2,9,16,30,7.6,0.6498,1.6302,0.0,489.97404
29,1,11,7,32,6.0,0.92736,0.99264,0.0,485.830528
38,2,2,16,22,22.7,1.208548,3.785452,1.0,476.0794904
35,1,16,15,36,3.4,0.178704,1.045296,0.0,497.1594592
29,1,11,5,36,6.1,0.709308,1.486692,0.0,487.37893840000004
23,2,3,4,34,4.4,0.2618,1.2342,0.0,481.88844
33,4,9,8,32,5.5,0.49632,1.26368,0.0,489.748736
51,2,19,25,159,2.8,1.06848,3.38352,0.0,582.775904
24,1,4,2,21,2.6,0.099372,0.446628,0.0,474.2309256
31,1,10,12,49,9.8,3.236548,1.565452,1.0,495.07229040000004
45,1,10,14,52,5.4,0.932256,1.875744,0.0,506.6919488
29,1,3,1,17,9.0,0.46971,1.06029,0.0,470.200058
34,1,0,10,20,17.1,2.04858,1.37142,0.0,472.466284
25,2,4,5,27,5.0,0.54945,0.80055,1.0,478.22011
37,1,20,2,56,1.9,0.54264,0.52136,0.0,506.918672
47,1,29,18,129,25.3,20.56131,12.07569,1.0,544.240338
43,2,6,24,54,9.6,0.62208,4.56192,0.0,508.198784
47,1,22,19,81,5.5,1.50579,2.94921,0.0,531.207842
24,1,6,2,21,5.2,0.108108,0.983892,0.0,473.8799784
27,3,5,1,75,6.3,2.206575,2.518425,0.0,506.693685
25,1,9,4,18,1.2,0.06588,0.15012,0.0,476.263624
36,3,11,12,44,14.7,0.446292,6.021708,0.0,495.1371416
39,1,16,20,57,19.4,1.559178,9.498822,0.0,504.71656440000004
26,1,10,1,25,7.1,1.3064,0.4686,0.0,477.14372000000003
41,1,4,19,25,10.1,1.0605,1.4645,0.0,486.6429
39,1,19,15,60,27.1,9.5934,6.6666,1.0,499.18932
37,1,18,8,54,12.1,4.593402,1.940598,0.0,501.3345196
29,1,2,0,14,14.4,0.586656,1.429344,1.0,464.5194688
42,1,6,9,31,11.6,1.02486,2.57114,0.0,486.635828
31,4,1,6,29,11.1,1.065489,2.153511,0.0,480.5031022
36,1,4,15,17,17.3,0.520557,2.420443,0.0,475.3876886
39,1,16,4,52,20.0,4.16,6.24,0.0,494.688
23,4,0,2,23,6.7,0.468464,1.072536,0.0,473.9181072
39,1,4,15,33,7.0,0.39732,1.91268,0.0,490.458536
27,3,4,1,40,3.1,0.28396,0.95604,1.0,486.855208
24,1,8,4,24,5.0,0.3816,0.8184,0.0,477.28368
27,3,3,4,45,11.0,0.29205,4.65795,1.0,486.75159
41,1,16,22,49,1.6,0.4312,0.3528,0.0,510.91696
38,1,0,8,23,8.1,0.897966,0.965034,1.0,478.4078068
40,2,5,12,35,16.4,1.58424,4.15576,1.0,486.575152
54,1,25,12,120,26.5,14.5962,17.2038,1.0,538.52076
40,1,12,6,89,17.4,2.771994,12.714006,0.0,516.7884012
40,1,2,4,32,3.7,0.853664,0.330336,0.0,486.5124672
29,1,1,8,31,8.0,0.15624,2.32376,0.0,480.872752
30,1,8,6,23,12.0,0.76176,1.99824,0.0,476.695648
29,1,1,1,18,1.1,0.029898,0.168102,0.0,473.5144204
29,3,3,3,50,2.4,0.2592,0.9408,1.0,494.34816
28,4,2,4,41,2.5,0.4592,0.5658,1.0,489.30316
28,4,0,5,38,10.4,0.636272,3.315728,0.0,484.1223456
39,2,16,9,89,14.3,5.001711,7.725289,0.0,521.3342578
32,1,11,2,53,3.3,0.089199,1.659801,0.0,498.91236019999997
36,2,7,16,43,15.4,2.6488,3.9732,0.0,492.98584
39,1,20,12,39,8.2,0.773916,2.424084,0.0,498.52561679999997
28,3,6,8,47,19.8,5.574294,3.731706,1.0,485.7039412
28,1,4,2,28,14.2,0.43736,3.53864,1.0,473.837328
46,1,6,19,31,12.2,1.98555,1.79645,0.0,491.76649
30,2,4,8,15,6.5,0.350025,0.624975,0.0,474.534995
39,2,15,19,32,4.9,0.421792,1.146208,0.0,497.64204159999997
40,3,5,3,220,16.0,8.1664,27.0336,1.0,587.72672
44,2,18,4,74,13.4,4.521696,5.394304,0.0,514.1524608
30,1,0,8,19,16.6,0.624492,2.529508,1.0,469.2043016
24,2,3,0,19,4.3,0.358663,0.458337,0.0,471.8448674
32,1,10,13,32,11.3,1.167968,2.448032,0.0,486.5232064
29,2,3,8,15,2.6,0.14664,0.24336,0.0,475.452672
40,2,2,1,36,3.8,0.277704,1.090296,0.0,488.5508592
41,2,8,21,43,0.7,0.085785,0.215215,0.0,505.042643
22,1,1,3,17,18.6,0.80631,2.35569,0.0,463.166338
38,1,10,8,34,1.2,0.036312,0.371688,0.0,493.0311376
37,2,6,13,62,8.5,1.18575,4.08425,0.0,506.50885
41,3,18,6,71,15.7,6.565583,4.581417,1.0,510.3774834
41,3,7,6,56,14.5,0.37352,7.74648,1.0,499.301296
39,1,2,15,22,23.1,1.915914,3.166086,1.0,474.9604172
24,2,0,2,15,16.1,0.321195,2.093805,1.0,463.212761
32,3,9,10,51,23.0,2.68617,9.04383,0.0,491.31676600000003
21,3,0,1,26,7.7,1.529528,0.472472,0.0,473.0136944
29,1,13,7,27,2.3,0.068931,0.552069,0.0,485.5420138
35,2,14,3,82,0.8,0.468384,0.187616,0.0,521.0551232
29,1,6,7,21,18.1,1.109892,2.691108,0.0,471.9778216
41,2,2,22,30,6.7,0.11256,1.89744,0.0,492.495488
37,1,0,18,18,12.9,1.583604,0.738396,1.0,476.8588792
32,2,3,13,47,1.9,0.42864,0.46436,0.0,497.97567200000003
36,5,5,12,20,8.1,0.729,0.891,0.0,483.4902
39,2,18,9,44,2.1,0.367752,0.556248,0.0,503.3016496
36,1,18,9,67,11.2,5.245296,2.258704,0.0,509.1701408
46,3,22,4,99,2.3,0.826551,1.450449,0.0,539.0592898
34,1,13,11,51,9.6,1.875168,3.020832,0.0,499.4057664
27,1,7,4,26,9.1,0.641186,1.724814,0.0,477.3585628
43,1,8,11,45,3.3,0.67716,0.80784,0.0,500.847568
33,1,14,8,72,41.3,15.01668,14.71932,1.0,489.729464
39,2,20,17,101,1.4,0.340774,1.073226,0.0,541.6890452
29,1,1,4,17,2.5,0.13175,0.29325,0.0,473.48865
34,4,7,15,40,6.4,0.94976,1.61024,0.0,496.33804799999996
26,1,1,0,21,4.9,0.608139,0.420861,0.0,471.9125722
31,1,15,2,60,4.8,0.80352,2.07648,0.0,503.343296
26,1,10,6,24,2.7,0.31104,0.33696,0.0,480.728192
28,1,12,7,45,7.7,1.853775,1.611225,0.0,492.456245
48,1,13,20,50,30.8,6.1138,9.2862,1.0,495.77724
39,2,2,12,46,16.0,4.00384,3.35616,1.0,490.927232
37,1,3,3,25,3.7,0.27565,0.64935,0.0,481.27987
52,5,9,0,70,9.4,1.32916,5.25084,1.0,514.258168
48,1,3,11,27,21.3,1.403244,4.347756,0.0,481.8491512
26,1,7,3,22,5.1,0.208692,0.913308,0.0,476.0938616
46,5,15,0,126,3.1,0.476532,3.429468,0.0,551.8834936000001
31,1,7,10,23,4.9,0.2254,0.9016,0.0,481.56952
34,1,13,8,56,6.1,0.864248,2.551752,0.0,503.10395040000003
40,1,22,4,95,3.6,0.6327,2.7873,0.0,531.94946
24,3,2,5,16,6.4,0.270336,0.753664,1.0,470.7811328
33,1,2,14,44,3.1,0.52514,0.83886,0.0,495.182172
53,4,5,29,78,17.3,6.935916,6.558084,1.0,522.9940168
47,3,9,1,52,20.1,2.539836,7.912164,1.0,494.9616328
35,1,5,5,32,13.0,0.17472,3.98528,0.0,481.933056
34,1,14,8,28,17.0,1.13764,3.62236,0.0,482.020472
49,1,11,5,39,10.1,2.457936,1.481064,0.0,494.8806128
26,2,0,7,28,9.3,1.270752,1.333248,0.0,477.10504960000003
23,1,2,2,16,9.6,0.804864,0.731136,1.0,466.0918272
23,2,0,4,21,8.7,0.454923,1.372077,0.0,471.0636154
38,2,4,13,56,1.6,0.441728,0.454272,0.0,506.2924544
28,2,5,2,37,8.3,1.123986,1.947014,0.0,483.6410028
30,3,0,8,65,29.7,3.89961,15.40539,1.0,489.279078
34,1,18,10,34,15.4,2.099636,3.136364,0.0,488.3728728
50,2,16,14,71,11.1,1.662891,6.218109,0.0,519.8512218
29,1,12,2,40,6.7,1.63212,1.04788,0.0,488.457576
42,3,0,9,64,6.6,0.278784,3.945216,0.0,507.6594432
31,1,13,12,27,5.0,0.2376,1.1124,0.0,487.08248000000003
39,1,10,4,31,4.8,0.184512,1.303488,0.0,488.3454976
45,2,21,26,132,3.0,2.55816,1.40184,0.0,565.096368
45,1,22,24,91,11.7,1.256346,9.390654,0.0,534.7393308000001
36,1,14,17,53,5.7,1.888125,1.132875,0.0,506.138175
